1205008836,37065,389500,733154,597572,613675,51204,20566,41692,16335452,22639731,83579,50507,704400,609500,177528,195361,1184756,2303853,20058,171469,79789,393218,143653,9586232,661934,100490,92838,283032,23732,132786,143035,251705,1416203,23088,569081,317687,65849,320286,11387,1164991,41653,11022774,2663754,218423,11537,682379,139688,122341,214179,91952,15996
103720,131943219,650282,45150,563900,158027,5780,16012,6501,470337,135875,709576,144839,70618,46829,15784,51733,35900,87879,5929,34022,21544,48079,65174,43870,56405,98158,32527,287652,8760,26884,33615,73472,73082,25506,64265,109247,365025,63622,3718,57746,27315,66165,483244,145036,5281,66241,1651040,4413,49746,22931,6854
372617,214102,1427276492,437848,17562093,2809596,89162,29469,53885,2491402,702380,965939,912873,1731812,666300,776437,615515,315545,451382,66542,214298,205546,855012,1261188,218380,1031031,461077,640104,6433143,43707,246084,3377602,548864,604159,379904,725306,870331,1198330,470083,26501,307896,323293,726315,5801946,2821597,20321,443444,1892434,71033,819252,292671,33460
1141536,21081,419486,694912142,590574,894134,18101,11172,20388,2293831,785643,70347,54981,729759,402647,227090,802489,465776,3342675,14969,63844,37388,231261,139422,2823606,8283200,66646,147258,217523,9446,58819,303361,126579,339139,27074,295903,6150071,75426,188608,4088,230103,57098,4962006,12681473,168922,3104,235210,121474,48983,140051,78250,3047
1456148,440357,36672026,1360675,7772098741,7209935,517676,141224,410801,11135693,3535305,9782589,4512883,3803263,1947613,1090743,1277507,848747,1846140,137836,1028097,1498688,1771073,1326169,895925,2547023,1480030,1032546,39205631,162436,1377065,3395917,3422698,2706735,231164,2144847,2946623,11629467,1934034,208530,1459257,316132,3714981,20504439,9277964,82025,2328019,8636682,199716,1081824,979050,101250
582905,97527,5166594,543238,4288759,1056615379,122883,35209,75337,5595156,1055530,815243,451315,1323578,582324,684340,2045245,360104,658656,46783,256669,228671,638566,651546,293325,1632144,481262,1898844,1759612,70292,251411,2703951,547193,734710,209966,648307,1205859,523590,518676,24227,461926,432346,845319,7781855,2561510,23305,564256,869481,67306,434478,2246974,34653
131191,7341,255870,39502,504269,228004,658501532,152885,141018,5875388,506489,71211,23870,227993,167714,46866,28667,76634,103089,590475,477481,9031803,149026,50051,43217,81280,42434,25016,93831,1010423,2082086,44823,13448051,896251,5043,333479,53289,30013,1415745,4401317,901728,8448,261433,533786,119318,1376775,909986,66181,52791,65223,35983,134921
50665,1797,82919,19254,124187,64087,90260,167086944,132653,1530499,226709,36843,7155,61575,68486,16555,15394,35672,45804,21163,7237514,99852,90256,16023,19812,29419,8323,4793,47366,17927,2219271,14398,582620,420332,4174,162850,26429,11548,6484280,20132,302734,3932,156696,177464,32687,25236,973019,17175,85283,16381,5610,19581
97631,7521,70315,17965,285862,117673,94118,177881,78663997,754149,270372,17833,7747,132838,81951,14617,40631,58644,69313,17456,14605052,382569,192360,19302,36565,53699,10304,11261,43270,25913,351675,17570,574799,415880,1947,170127,29843,9698,585562,26079,233420,2047,78050,279089,44931,25834,5702923,46897,117076,21603,14717,16882
13990906,182312,2203982,1254611,4584476,4741023,1554018,436456,440624,4458811562,28401992,512666,311806,7220317,4977972,1538843,1000483,3327705,4538074,524125,2465119,2999684,6359249,2228937,3119764,3077950,464205,603520,1793535,631939,4827602,644970,9187578,10475598,210608,6799424,1279282,534167,5263388,458650,6812854,268337,9513914,10564910,1664918,231761,5201175,1051870,944226,2446028,393499,1296134
